"MES","DIA","HORA","PROVINCIA","CANTON","ZONA","NUM_FALLECIDO","NUM_LESIONADO","TOTAL_VICTIMAS","CLASE","CAUSA"
"JULIO","VIERNES","22:00 A 22:59","LOJA","LOJA","RURAL",1,0,1,"CHOQUES","EXCESO VELOCIDAD"
"FEBRERO","DOMINGO","21:00 A 21:59","TUNGURAHUA","AMBATO","RURAL",0,1,1,"CHOQUES","EMBRIAGUEZ O DROGA"
"AGOSTO","LUNES","14:00 A 14:59","GUAYAS","DURAN","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"OCTUBRE","SÁBADO","19:00 A 19:59","GUAYAS","EL TRIUNFO","RURAL",0,1,1,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"ENERO","MIÉRCOLES","07:00 A 07:59","IMBABURA","COTACACHI","RURAL",0,1,1,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"MARZO","JUEVES","07:00 A 07:59","CAÑAR","CAÑAR","RURAL",0,1,1,"CAÍDA DE PASAJEROS","IMPRUDENCIA  DEL PEATÓN"
"JULIO","VIERNES","15:00 A 15:59","LOS RÍOS","BUENA FE","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"AGOSTO","MARTES","23:00 A 23:59","GUAYAS","DAULE","RURAL",0,1,1,"CAÍDA DE PASAJEROS","IMPRUDENCIA  DEL PEATÓN"
"AGOSTO","JUEVES","19:00 A 19:59","CHIMBORAZO","COLTA","RURAL",1,0,1,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"AGOSTO","MIÉRCOLES","06:00 A 06:59","EL ORO","PASAJE","RURAL",0,0,0,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"MARZO","SÁBADO","19:00 A 19:59","SANTO DOMINGO DE LOS TSÁCHILAS","SANTO DOMINGO","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"NOVIEMBRE","VIERNES","13:00 A 13:59","EL ORO","EL GUABO","RURAL",0,5,5,"PÉRDIDA DE PISTA","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"DICIEMBRE","VIERNES","11:00 A 11:59","GUAYAS","DAULE","RURAL",0,2,2,"ATROPELLOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"DICIEMBRE","LUNES","05:00 A 05:59","EL ORO","SANTA ROSA","RURAL",0,0,0,"PÉRDIDA DE PISTA","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"FEBRERO","MARTES","17:00 A 17:59","GUAYAS","GUAYAQUIL","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"ABRIL","MARTES","08:00 A 08:59","PICHINCHA","DISTRITO METROPOLITANO DE QUITO","RURAL",0,0,0,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"JULIO","JUEVES","12:00 A 12:59","EL ORO","EL GUABO","RURAL",0,0,0,"ESTRELLAMIENTOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"DICIEMBRE","SÁBADO","15:00 A 15:59","MORONA SANTIAGO","TAISHA","RURAL",1,0,1,"CHOQUES","NO RESPETA LAS SEÑALES DE TRÁNSITO"
"JUNIO","DOMINGO","01:00 A 01:59","PICHINCHA","DISTRITO METROPOLITANO DE QUITO","RURAL",0,0,0,"ESTRELLAMIENTOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"FEBRERO","VIERNES","08:00 A 08:59","GUAYAS","DURAN","RURAL",0,0,0,"ROZAMIENTOS","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"ENERO","JUEVES","00:00 A 00:59","SANTO DOMINGO DE LOS TSÁCHILAS","SANTO DOMINGO","RURAL",0,0,0,"PÉRDIDA DE PISTA","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
"DICIEMBRE","JUEVES","09:00 A 09:59","AZUAY","PAUTE","RURAL",0,1,1,"CHOQUES","IMPERICIA E IMPRUDENCIA DEL CONDUCTOR"
